"suppl_name";"buyer_name";"ord_cnt";"rsp_cnt";"des_cnt";"rec_cnt";"rsp_prc";"des_prc";"rec_prc"
АРГО ПЛЮС;СКБ Контур;13;0;13;13;0.0000;1.0000;1.0000
ХОХ;ТАНДЕР;6;6;6;6;1.0000;1.0000;1.0000
ХОХ;Розничная сеть Зельгрос;7;0;7;7;0.0000;1.0000;1.0000
Хот-ня Трейдинг;"Торговый дом ""ПЕРЕКРЕСТОК";96;6;76;96;0.0625;0.7917;1.0000
Арендатор;Джессика;1;1;1;1;1.0000;1.0000;1.0000
Хот-ня Трейдинг;СКБ Контур;10;0;10;10;0.0000;1.0000;1.0000
Хот-ня Трейдинг;Розничная сеть Зельгрос;3;3;3;3;1.0000;1.0000;1.0000
Арендатор;ЮВЕНКО ИНВЕСТ;1;1;1;1;1.0000;1.0000;1.0000
Ариант плюс один;Лента;15;0;15;15;0.0000;1.0000;1.0000
Ариант плюс один;"Торговый дом ""ПЕРЕКРЕСТОК";3;3;3;3;1.0000;1.0000;1.0000
"Холдинг-Компания ""Реал";СПАР МИДДЛ ВОЛГА;20;0;20;20;0.0000;1.0000;1.0000
Арлон;СПАР МИДДЛ ВОЛГА;7;7;7;7;1.0000;1.0000;1.0000
Армхлеб;Лента;35;0;35;35;0.0000;1.0000;1.0000
"Холдинг-Компания ""Реал";Розничная сеть Зельгрос;16;0;15;16;0.0000;0.9375;1.0000
АРМЯНСКИЙ КОНЬЯК;Компания Холидей;2;2;2;2;1.0000;1.0000;1.0000
АРМЯНСКИЙ КОНЬЯК;Т и К Продукты;2;2;2;2;1.0000;1.0000;1.0000
АРС-НН;ТАНДЕР;2;2;2;2;1.0000;1.0000;1.0000
Арст;Розничная сеть Зельгрос;20;0;19;20;0.0000;0.9500;1.0000
Артель;"Торговый дом ""ПЕРЕКРЕСТОК";8;4;5;8;0.5000;0.6250;1.0000
Артпласт;Т и К Продукты;5;0;0;5;0.0000;0.0000;1.0000
АРТЭС-Спб;Лента;2;0;2;2;0.0000;1.0000;1.0000
ХЛЕБОПЕК;Ритм-2000;10;10;10;10;1.0000;1.0000;1.0000
ХЛЕБОПЕК;Лента;41;39;41;41;0.9512;1.0000;1.0000
АРХИМЕД;ДИКСИ ЮГ;10;10;10;10;1.0000;1.0000;1.0000
АРХИМЕД;СКБ Контур;2;0;0;2;0.0000;0.0000;1.0000
Хлебокомбинат Курганинский;Лента;22;21;22;22;0.9545;1.0000;1.0000
АСА;Лента;6;0;6;6;0.0000;1.0000;1.0000
АСК-Агро;"Торговый дом ""ПЕРЕКРЕСТОК";8;0;0;8;0.0000;0.0000;1.0000
Хлебозавод №5;СКБ Контур;85;0;0;85;0.0000;0.0000;1.0000
Хлебозавод №5;Розничная сеть Зельгрос;34;0;34;34;0.0000;1.0000;1.0000
Ассоль;КОРУС Консалтинг СНГ;19;0;19;19;0.0000;1.0000;1.0000
АСТ-Интернэшнл Инваэронмэнт;Барс-Ритейл;2;0;0;2;0.0000;0.0000;1.0000
АСТ-Интернэшнл Инваэронмэнт;КОРУС Консалтинг СНГ;6;0;6;6;0.0000;1.0000;1.0000
АСТ-Интернэшнл Инваэронмэнт;Т и К Продукты;4;4;4;4;1.0000;1.0000;1.0000
АСТА-ПАК;КОРУС Консалтинг СНГ;38;0;38;38;0.0000;1.0000;1.0000
Хлебозавод;Лента;37;37;37;37;1.0000;1.0000;1.0000
АТЛ Плюс;Лента;195;0;195;195;0.0000;1.0000;1.0000
Хлебзавод №1;ОПТОВИК;196;196;193;196;1.0000;0.9847;1.0000
Ахрамеев Виталий Александрович;"Торговый дом ""ПЕРЕКРЕСТОК";318;306;306;318;0.9623;0.9623;1.0000
Аэростар Контракт;"Торговый дом ""ПЕРЕКРЕСТОК";61;61;61;61;1.0000;1.0000;1.0000
Б и Г-АВ;Ритейл-Центр;4;4;4;4;1.0000;1.0000;1.0000
Б и К;Компания Холидей;5;0;0;5;0.0000;0.0000;1.0000
Бабела Владислав Андреевич;Лента;114;0;114;114;0.0000;1.0000;1.0000
"Хладокомбинат ""Заречный";ТАНДЕР;3;2;3;3;0.6667;1.0000;1.0000
"ХК ""Ополье";Фреш Маркет;5;5;0;5;1.0000;0.0000;1.0000
"ХК ""Ополье";СКБ Контур;41;0;0;41;0.0000;0.0000;1.0000
Балтийский торговый дом;ТАНДЕР;10;10;10;10;1.0000;1.0000;1.0000
ХИМПРОМПРОЕКТ;ТАНДЕР;11;11;11;11;1.0000;1.0000;1.0000
БалтОвощ;ТАНДЕР;4;0;4;4;0.0000;1.0000;1.0000
Бальзам;Лента;16;0;16;16;0.0000;1.0000;1.0000
Бальзам;"Торговый дом ""ПЕРЕКРЕСТОК";12;12;12;12;1.0000;1.0000;1.0000
Хаме Фудс;КОРУС Консалтинг СНГ;4;0;4;4;0.0000;1.0000;1.0000
Хаме Фудс;ДИКСИ ЮГ;6;6;6;6;1.0000;1.0000;1.0000
Фуэтте;ТАНДЕР;2;2;2;2;1.0000;1.0000;1.0000
ФУДВЭЙ;ТАНДЕР;19;19;19;19;1.0000;1.0000;1.0000
ФУД;"Торговый дом ""ПЕРЕКРЕСТОК";1;1;1;1;1.0000;1.0000;1.0000
Баринофф;Т и К Продукты;1;1;1;1;1.0000;1.0000;1.0000
Баринофф;ТАНДЕР;7;7;7;7;1.0000;1.0000;1.0000
Баринофф;ЭССЕН Логистик;1;1;1;1;1.0000;1.0000;1.0000
БАСКОНИЯ;Авоська – два;4;4;4;4;1.0000;1.0000;1.0000
БАСКОНИЯ;ДИКСИ ЮГ;4;4;4;4;1.0000;1.0000;1.0000
БАСКОНИЯ;ТАНДЕР;10;5;10;10;0.5000;1.0000;1.0000
БАСКОНИЯ;"Торговый дом ""ПЕРЕКРЕСТОК";16;16;16;16;1.0000;1.0000;1.0000
Батраков А. В.;КОРУС Консалтинг СНГ;4;4;4;4;1.0000;1.0000;1.0000
Фруттель;ТАНДЕР;2;0;0;2;0.0000;0.0000;1.0000
Фрутистайл;Розничная сеть Зельгрос;8;0;0;8;0.0000;0.0000;1.0000
ФРУТАГРО;Лента;7;7;7;7;1.0000;1.0000;1.0000
БЕЛГОРОДСКИЕ ОВОЩИ;Виктория Балтия;3;3;0;3;1.0000;0.0000;1.0000
БЕЛГОРОДСКИЕ ОВОЩИ;ДИКСИ ЮГ;26;22;26;26;0.8462;1.0000;1.0000
БЕЛГОРОДСКИЕ ОВОЩИ;"Торговый дом ""ПЕРЕКРЕСТОК";52;52;48;52;1.0000;0.9231;1.0000
ФРУТ-ЛОГИСТИК;Розничная сеть Зельгрос;93;0;0;93;0.0000;0.0000;1.0000
Фрут Сервис;"Торговый дом ""ПЕРЕКРЕСТОК";63;0;0;63;0.0000;0.0000;1.0000
белла-Дон;Русский Стиль - 97;3;3;3;3;1.0000;1.0000;1.0000
Белорусская продовольственная компания;Лента;44;0;2;44;0.0000;0.0455;1.0000
Фруктовый город;Розничная сеть Зельгрос;24;0;23;24;0.0000;0.9583;1.0000
Белорусская продовольственная компания;"Торговый дом ""ПЕРЕКРЕСТОК";8;8;8;8;1.0000;1.0000;1.0000
"фруктовая компания ""АГРО";"Торговый дом ""ПЕРЕКРЕСТОК";39;25;39;39;0.6410;1.0000;1.0000
ФРИЗ-ПРОДУКТ;ТАНДЕР;16;16;16;16;1.0000;1.0000;1.0000
Белый квадрат Сервис;Солнечный круг;99;99;82;99;1.0000;0.8283;1.0000
Фреш Роял;Лента;24;0;24;24;0.0000;1.0000;1.0000
Бентус лаборатории;ТАНДЕР;26;26;26;26;1.0000;1.0000;1.0000
Бентус лаборатории;ТВК-Р;4;4;4;4;1.0000;1.0000;1.0000
БЕСТФУДС;"Торговый дом ""ПЕРЕКРЕСТОК";15;5;15;15;0.3333;1.0000;1.0000
Би-энд-Би;ТАНДЕР;60;60;60;60;1.0000;1.0000;1.0000
Форт;Т и К Продукты;3;3;3;3;1.0000;1.0000;1.0000
